movie_title,film_director,industry,available_langs,run_time_min,imdb_user_rating,worldwide_release,platform_post_date,days_to_piracy,avg_views_per_download,avg_downloads_per_day,downloads,total_views
Little Dixie,John Swab,Hollywood / English,English,105,4.8,2023-01-28,2023-02-20,23,9.19078947368421,13.217391304347826,304,2794
Grilling Season: A Curious Caterer Mystery,Paul Ziller,Hollywood / English,English,84,6.4,2023-02-05,2023-02-20,15,13.726027397260275,4.866666666666666,73,1002
In the Earth,Ben Wheatley,Hollywood / English,"English,Hindi",107,5.2,2021-06-18,2021-04-20,-59,10.104414856341975,24.1864406779661,1427,14419
Vaathi,Venky Atluri,Tollywood,Hindi,139,8.1,2023-02-17,2023-02-20,3,3.149128469980633,516.3333333333334,1549,4878
Alone,Shaji Kailas,Tollywood,Hindi,122,4.6,2023-01-26,2023-02-20,25,3.710806697108067,26.28,657,2438
Anubhavinchu Raja,Srinivas Gavireddy,Tollywood,Hindi,131,5.4,2021-11-26,2023-02-20,451,3.941018766756032,1.6541019955654102,746,2940
WWE Elimination Chamber,Not Assigned,Wrestling,English,200,5.8,2023-02-18,2023-02-19,1,2.2464366091522883,5332.0,5332,11978
Sharper,Benjamin Caron,Hollywood / English,English,116,6.5,2023-02-17,2023-02-13,-4,10.23301516002246,445.25,1781,18225
Four Samosas,Ravi Kapoor,Hollywood / English,English,80,6.9,2022-12-02,2023-02-18,78,15.091703056768559,5.871794871794871,458,6912
Blood Harvest,Danny LeGare,Hollywood / English,English,80,4.2,2023-02-07,2023-02-18,11,4.9414758269720105,178.63636363636363,1965,9710
Frankie Meets Jack,Andrew Lawrence,Hollywood / English,English,100,6.2,2023-02-03,2023-02-18,15,6.223719676549865,49.46666666666667,742,4618
Shehzada,Rohit Dhawan,Bollywood / Indian,Hindi,142,9.0,2023-02-17,2023-02-18,1,2.7660182183109465,12954.0,12954,35831
WWE Smackdown 2023-02-17,Not Assigned,Wrestling,English,100,5.8,2023-02-17,2023-02-18,1,2.4269862405681315,2253.0,2253,5468
Ant-Man and the Wasp: Quantumania,Peyton Reed,Hollywood / English,"English,Hindi",125,6.6,2023-02-17,2023-02-17,0,2.6500975314454833,14867.0,14867,39399
The Inspection,Elegance Bratton,Hollywood / English,English,95,7.1,2022-12-02,2023-02-17,77,12.44708423326134,6.012987012987013,463,5763
Cirkus,Rohit Shetty,Bollywood / Indian,Hindi,139,6.5,2022-12-23,2022-12-24,1,3.0568751204470996,41512.0,41512,126897
Sab Fadey Jaange.2023,Not Assigned,Punjabi,Punjabi,100,5.8,2023-02-16,2023-02-17,1,4.656373429084381,2785.0,2785,12968
Chakra,Anandan .M.S.,Tollywood,Hindi,131,6.4,2021-02-19,2023-02-17,728,2.9792754311026735,17.365384615384617,12642,37664
TNA.Impact 2023-02-16,Not Assigned,Wrestling,English,100,5.8,2023-02-16,2023-02-17,1,3.9005847953216373,171.0,171,667
Carnifex,Sean Lahiff,Hollywood / English,English,93,4.7,2022-12-01,2023-02-16,77,8.001376462491397,18.87012987012987,1453,11626
Ten-Cent Daisy,Lisbon Okafor,Hollywood / English,English,90,6.4,2022-10-28,2023-02-16,111,13.496420047732697,3.774774774774775,419,5655
Maybe I Do,Michael Jacobs,Hollywood / English,English,95,5.2,2023-01-26,2023-01-30,4,13.22509225092251,67.75,271,3584
Vacation Home Nightmare,Lindsay Hartley,Hollywood / English,English,100,5.0,2023-01-29,2023-02-16,18,12.30752688172043,25.833333333333332,465,5723
Lost,Aniruddha Roy Chowdhury,Bollywood / Indian,Hindi,100,7.6,2023-02-16,2023-02-16,0,3.7019283746556475,9075.0,9075,33595
Ho Ja Mukt,Sumeet Nagdev,Bollywood / Indian,Hindi,142,5.8,2023-01-21,2023-02-16,26,8.384141647421092,49.96153846153846,1299,10891
A Todas Partes (All The Places),Pitipol Ybarra,Hollywood / English,English,97,5.1,2023-02-14,2023-02-15,1,12.846289752650177,566.0,566,7271
A Sunday Affair,Walter Taylaur,Hollywood / English,English,96,5.3,2023-02-14,2023-02-15,1,10.929471032745592,397.0,397,4339
Karada Sagashi (Remember Member),Eiichirô Hasumi,Hollywood / English,English,102,5.7,2022-10-14,2023-02-15,124,8.967894239848913,8.540322580645162,1059,9497
The Girl Who Escaped: The Kara Robinson Story,Simone Stock,Hollywood / English,English,88,6.6,2023-02-11,2023-02-15,4,9.776315789473685,190.0,760,7430
Marlowe,Neil Jordan,Hollywood / English,English,110,6.1,2023-02-15,2023-02-15,0,10.756183745583039,283.0,283,3044
Malikappuram,Vishnu Sasi Shankar,Tollywood,Hindi,121,8.3,2022-12-30,2023-02-15,47,4.152146623148381,84.74468085106383,3983,16538
Squared Love All Over Again,Filip Zylber,Hollywood / English,"English,Hindi",99,5.0,2023-02-13,2023-02-14,1,6.157412707498569,1747.0,1747,10757
At Midnight,Jonah Feingold,Hollywood / English,English,100,5.5,2023-02-10,2023-02-14,4,13.850821744627055,197.75,791,10956
Infamously in Love,Kristin Fairweather,Hollywood / English,English,90,5.6,2022-10-09,2023-02-14,128,18.031413612565444,1.4921875,191,3444
Infinity Pool,Brandon Cronenberg,Hollywood / English,English,117,6.8,2023-01-27,2023-01-30,3,11.382329317269077,415.0,1245,14171
Woh 3 Din,Raaj Aashoo,Bollywood / Indian,Hindi,100,8.3,2022-09-30,2022-10-05,5,6.1516944054541804,1994.8,9974,61357
Marlowe,Neil Jordan,Hollywood / English,English,110,6.1,2023-02-15,2023-02-15,0,10.759717314487633,283.0,283,3045
Carnifex,Sean Lahiff,Hollywood / English,English,93,4.7,2022-12-01,2023-02-16,77,8.002064693737095,18.87012987012987,1453,11627
Vaathi,Venky Atluri,Tollywood,Hindi,139,8.1,2023-02-17,2023-02-20,3,3.149677419354839,516.6666666666666,1550,4882
Shehzada,Rohit Dhawan,Bollywood / Indian,Hindi,142,9.0,2023-02-17,2023-02-18,1,2.7661726107765943,12954.0,12954,35833
The Girl Who Escaped: The Kara Robinson Story,Simone Stock,Hollywood / English,English,88,6.6,2023-02-11,2023-02-15,4,9.777631578947368,190.0,760,7431
Who Invited Charlie?,Xavier Manrique,Hollywood / English,English,101,8.8,2023-02-03,2023-02-13,10,22.346666666666668,7.5,75,1676
Your Place or Mine,Aline Brosh McKenna,Hollywood / English,"English,Hindi",109,5.7,2023-02-10,2023-02-13,3,5.397492625368732,904.0,2712,14638
Baby Ruby,Bess Wohl,Hollywood / English,English,93,5.0,2023-02-03,2023-02-10,7,14.62540192926045,88.85714285714286,622,9097
WWE Raw 2023-02-13,Not Assigned,Wrestling,English,100,5.8,2023-02-13,2023-02-14,1,2.531621310847068,2609.0,2609,6605
Your Place or Mine,Aline Brosh McKenna,Hollywood / English,"English,Hindi",109,5.7,2023-02-10,2023-02-13,3,5.397861356932153,904.0,2712,14639
